item_id	citation	title	authority_tier	validity	validity_note	version_id	lang	source_url	retrieved	media_type	bytes	sha256
about	EUDI ARF v3.0.0 — about.md	About	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/about.md	2026-07-31	text/markdown	6154	74545ebe216bfe6b97a4026b052157bca450624893556bbb8e783a1ef6e37776
annexes__README	EUDI ARF v3.0.0 — annexes/README.md	Architecture and Reference Annexes	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/annexes/README.md	2026-07-31	text/markdown	2605	65f5c2a21ccc44310c15fd92ad75a97abd09b88cc8bffed11ef387226c7e4eb3
annexes__annex-1__annex-1-definitions	EUDI ARF v3.0.0 — annexes/annex-1/annex-1-definitions.md	ANNEX 1 - Definitions	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/annexes/annex-1/annex-1-definitions.md	2026-07-31	text/markdown	25923	ecd5d64c87a7728ed8a292ad40ec562119727327dd977300252c0428a3821796
annexes__annex-2__annex-2.01-high-level-requirements	EUDI ARF v3.0.0 — annexes/annex-2/annex-2.01-high-level-requirements.md	ANNEX 2.01 - High-Level Requirements <!-- omit from toc -->	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/annexes/annex-2/annex-2.01-high-level-requirements.md	2026-07-31	text/markdown	4350	8d1fcbbcbe4da0ecee771497d7634b94527479ab6fff1c837889c5b8aeb8bcfd
annexes__annex-2__annex-2.02-high-level-requirements-by-topic	EUDI ARF v3.0.0 — annexes/annex-2/annex-2.02-high-level-requirements-by-topic.md	ANNEX 2.02 - High-Level Requirements by topic <!-- omit from toc -->	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/annexes/annex-2/annex-2.02-high-level-requirements-by-topic.md	2026-07-31	text/markdown	395792	ed18af764d028e9b4675d93e291602fca899eec85c54f36b16b60583028244f6
annexes__annex-2__annex-2.03-high-level-requirements-by-category	EUDI ARF v3.0.0 — annexes/annex-2/annex-2.03-high-level-requirements-by-category.md	ANNEX 2.03 - High-Level Requirements by category<!-- omit from toc -->	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/annexes/annex-2/annex-2.03-high-level-requirements-by-category.md	2026-07-31	text/markdown	434339	7f37c59194ca856cf215729cc06f2a6e6fabac89d22be8e21dbe3d6763cf3423
annexes__annex-3__annex-3.01-pid-rulebook	EUDI ARF v3.0.0 — annexes/annex-3/annex-3.01-pid-rulebook.md	ANNEX 3.01 - PID Rulebook { #pid-rulebook }	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/annexes/annex-3/annex-3.01-pid-rulebook.md	2026-07-31	text/markdown	400	6b332254bd18bb51d48eb23f9a38c5d4a754a9beada9497a0c2be3ba43356042
annexes__annex-3__annex-3.02-mDL-rulebook	EUDI ARF v3.0.0 — annexes/annex-3/annex-3.02-mDL-rulebook.md	ANNEX 3.02 - mDL Rulebook { #mdl-rulebook }	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/annexes/annex-3/annex-3.02-mDL-rulebook.md	2026-07-31	text/markdown	399	e923321c383c569d72a92d20b09c8c674e03ed58d1d82fe57585db6625083aad
annexes__annex-5__annex-5.01-design-guide	EUDI ARF v3.0.0 — annexes/annex-5/annex-5.01-design-guide.md	EUDI Wallet - Design Guide	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/annexes/annex-5/annex-5.01-design-guide.md	2026-07-31	text/markdown	20363	1ba18670f0c4cdeb0b8951d438a13b2c4f561b73bd48371cb8d2c6554b58a023
annexes__annex-5__annex-5.02-design-guide-data-sharing-scenarios	EUDI ARF v3.0.0 — annexes/annex-5/annex-5.02-design-guide-data-sharing-scenarios.md	EUDI WALLET DESIGN GUIDE - DATA SHARING SCENARIOS	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/annexes/annex-5/annex-5.02-design-guide-data-sharing-scenarios.md	2026-07-31	text/markdown	19847	21fe8db3e540e35af9898c4409b6f6efe8d16e20ee0b3780d1832f2e3a0efdd6
discussion-topics__README	EUDI ARF v3.0.0 — discussion-topics/README.md	Discussion topics	commentary	in-force		v3.0.0@c64f2cbb19ae	eng	https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/blob/v3.0.0/docs/discussion-topics/README.md	2026-07-31	text/markdown	9668	7da16ca48ae42980e462ddbd40daa868f4dd02ea12c1f4962d45709ed2b45d68
