item_id	citation	title	authority_tier	validity	validity_note	version_id	lang	source_url	retrieved	media_type	bytes	sha256
02014R0910-20241018	Regulation (EU) No 910/2014, consolidated	eIDAS as amended by 2024/1183 — the operative text	legislative	in-force		02014R0910-20241018	eng	http://publications.europa.eu/resource/celex/02014R0910-20241018	2026-07-31	application/xml;type=fmx4	183722	64f4778dc2d6e3b11e4247cb3b3df7da31c1a60a3c248c9dd90ecace3fe30377
32014R0910	Regulation (EU) No 910/2014 (eIDAS)	eIDAS Regulation, as originally adopted	legislative	amended	Amended by Regulation (EU) 2024/1183 (eIDAS 2)	32014R0910	eng	http://publications.europa.eu/resource/celex/32014R0910	2026-07-31	application/xml;type=fmx4	118530	9c834b5183979c488b96f9d17035f46f59aa24cdf0bca6c2159e4d2e018b2cc2
32015D0296	Commission Implementing Decision (EU) 2015/296	Member State cooperation on electronic identification (Art. 12(7))	delegated	in-force		32015D0296	eng	http://publications.europa.eu/resource/celex/32015D0296	2026-08-14	application/xml;type=fmx4	21432	e33c84a52b00166fe065c78c3fc4b4abfa5bebc0033fc2a5f55996e7e5a74fe0
32015D1505	Commission Implementing Decision (EU) 2015/1505	Technical specifications and formats relating to trusted lists (Art. 22(5))	delegated	amended	Amended by Implementing Decision (EU) 2025/2164 (TS 119 612 version bump)	32015D1505	eng	http://publications.europa.eu/resource/celex/32015D1505	2026-08-14	application/xml;type=fmx4	26094	f5face2352efa3a627ec79b1cb712015fc3fc8c65e99f1a504a07d14b7d34ddb
32015D1506	Commission Implementing Decision (EU) 2015/1506	Formats of advanced electronic signatures and seals	delegated	in-force		32015D1506	eng	http://publications.europa.eu/resource/celex/32015D1506	2026-07-31	application/xml;type=fmx4	10678	e32b9b306ea0512e02f429a8a6fd516b00ac96364e5a04f13f97e00ea89c2ac1
32015D1984	Commission Implementing Decision (EU) 2015/1984	Circumstances, formats and procedures of eID notification (Art. 9(5))	delegated	in-force		32015D1984	eng	http://publications.europa.eu/resource/celex/32015D1984	2026-08-14	application/xml;type=fmx4	6463	4ece554aaec2810c2ca8e6f06081b91ac99831ab8622364909d271af4e0d92ac
32015R0806	Commission Implementing Regulation (EU) 2015/806	Form of the EU trust mark for qualified trust services	delegated	in-force		32015R0806	eng	http://publications.europa.eu/resource/celex/32015R0806	2026-08-14	application/xml;type=fmx4	4626	54d90095ff5f8f4ded6edd3c26cc9d9eab76c8c47625a8e7878b2c9c41da226f
32015R1501	Commission Implementing Regulation (EU) 2015/1501	Interoperability framework (Art. 12(8))	delegated	in-force		32015R1501	eng	http://publications.europa.eu/resource/celex/32015R1501	2026-08-14	application/xml;type=fmx4	12899	7b8edc1a640da242b48e0c7d4c21b7cb4b57dca1cda93d2f7c2e08fcec82b097
32015R1502	Commission Implementing Regulation (EU) 2015/1502	Assurance levels for electronic identification means	delegated	in-force		32015R1502	eng	http://publications.europa.eu/resource/celex/32015R1502	2026-07-31	application/xml;type=fmx4	26078	f0d224535e93269deafc1d11d5eff4ba8f7ab61cbb45a69e5d894a004e1e181c
32016D0650	Commission Implementing Decision (EU) 2016/650	Standards for security assessment of qualified signature/seal creation devices	delegated	in-force		32016D0650	eng	http://publications.europa.eu/resource/celex/32016D0650	2026-08-14	application/xml;type=fmx4	7236	a89a35577d5823f81b052053a9502a002f3524709e163a41bb43c550bd0fed40
32024R1183	Regulation (EU) 2024/1183 (eIDAS 2)	Amending regulation establishing the European Digital Identity Framework	legislative	in-force		32024R1183	eng	http://publications.europa.eu/resource/celex/32024R1183	2026-07-31	application/xml;type=fmx4	196806	50d437ba21b14f711e037b94d749dc85edb3e9c109d43c8b228ebb7c28e8c709
32024R2977	Commission Implementing Regulation (EU) 2024/2977	Person identification data and electronic attestations of attributes	delegated	in-force		32024R2977	eng	http://publications.europa.eu/resource/celex/32024R2977	2026-07-31	application/xml;type=fmx4	20425	9b0b83d33233788d76124519f4b4ab958c2d40984235ca1dbcb7927654b2d0d0
32024R2979	Commission Implementing Regulation (EU) 2024/2979	Integrity and core functionalities of European Digital Identity Wallets	delegated	in-force		32024R2979	eng	http://publications.europa.eu/resource/celex/32024R2979	2026-07-31	application/xml;type=fmx4	29137	1f90888d143b54f3b2886f99769c1ac39cbbb56ea3a929fa131cfed71dc8ba55
32024R2980	Commission Implementing Regulation (EU) 2024/2980	Ecosystem, notification and certification of wallets	delegated	in-force		32024R2980	eng	http://publications.europa.eu/resource/celex/32024R2980	2026-07-31	application/xml;type=fmx4	15427	dd7a9dac36301281f164a4e84ba38ccd4f711252131b34510ad89c65246a9813
32024R2982	Commission Implementing Regulation (EU) 2024/2982	Protocols and interfaces for the European Digital Identity Framework	delegated	in-force		32024R2982	eng	http://publications.europa.eu/resource/celex/32024R2982	2026-07-31	application/xml;type=fmx4	21656	85211fc840823cf313e65fcf383c212f31d0db1ccdbe99f430de6a7f657e2839
32025D2164	Commission Implementing Decision (EU) 2025/2164	Amendment of 2015/1505: trusted-list template standard version	delegated	in-force		32025D2164	eng	http://publications.europa.eu/resource/celex/32025D2164	2026-08-14	application/xml;type=fmx4	16134	34ae22184a474a0c5d4c436066ef6447214fe8af9c042f9365266646e9e55d6d
32025R0846	Commission Implementing Regulation (EU) 2025/846	Cross-border identity matching of natural persons	delegated	in-force		32025R0846	eng	http://publications.europa.eu/resource/celex/32025R0846	2026-08-14	application/xml;type=fmx4	21856	79873eb6b0bc9e1cba6b87ef498938f18c39ca5c71586a1e2e9e7c257d4f130e
32025R0847	Commission Implementing Regulation (EU) 2025/847	Reactions to security breaches of European Digital Identity Wallets	delegated	in-force		32025R0847	eng	http://publications.europa.eu/resource/celex/32025R0847	2026-08-14	application/xml;type=fmx4	27169	087ff4d204b7d1c11facbd03231e4ef733e96a37265c8cd85d647ae3e2420109
32025R0848	Commission Implementing Regulation (EU) 2025/848	Registration of wallet-relying parties	delegated	in-force		32025R0848	eng	http://publications.europa.eu/resource/celex/32025R0848	2026-08-14	application/xml;type=fmx4	24614	ed908521b8a89b1b289cadcc3edbf43f9c71e43a26fe9c3c93f7430145af7b3e
32025R1567	Commission Implementing Regulation (EU) 2025/1567	Management of remote QSCDs as qualified trust services	delegated	in-force		32025R1567	eng	http://publications.europa.eu/resource/celex/32025R1567	2026-08-14	application/xml;type=fmx4	5869	7ce243989c73cc1b78d3a9f6acc4c3f689791b8a83a94ea5f48d4c7c563e28aa
32025R1572	Commission Implementing Regulation (EU) 2025/1572	Notification of intention and verification for initiating qualified trust services	delegated	in-force		32025R1572	eng	http://publications.europa.eu/resource/celex/32025R1572	2026-08-14	application/xml;type=fmx4	10378	05aee48b6e977735f1aa66ec353eed10521fa2efb0eb864d76e7d173b5db9f11
32025R1943	Commission Implementing Regulation (EU) 2025/1943	Reference standards for qualified certificates (signature and seal)	delegated	in-force		32025R1943	eng	http://publications.europa.eu/resource/celex/32025R1943	2026-08-14	application/xml;type=fmx4	12076	10ac6a5d951cd1889a7e607610e5e8f7a2441a0e8d3aff12ea803f7813ffb1d0
32025R1944	Commission Implementing Regulation (EU) 2025/1944	Reference standards for QERDS processes and interoperability	delegated	in-force		32025R1944	eng	http://publications.europa.eu/resource/celex/32025R1944	2026-08-14	application/xml;type=fmx4	12591	26ac513b592faf7f8ad2132722424ff09780391ce737d6de5c74a1c7bc4d1f9a
32025R1946	Commission Implementing Regulation (EU) 2025/1946	Qualified preservation services for qualified signatures and seals	delegated	in-force		32025R1946	eng	http://publications.europa.eu/resource/celex/32025R1946	2026-08-14	application/xml;type=fmx4	9334	9901a0f240ee2e2fa54c6242e0c8ead121f172c64cfb00e74acfcbc034416b74
32025R2160	Commission Implementing Regulation (EU) 2025/2160	Risk management for the provision of non-qualified trust services	delegated	in-force		32025R2160	eng	http://publications.europa.eu/resource/celex/32025R2160	2026-08-14	application/xml;type=fmx4	14968	510bff8a028ae9c8b012e8bc4ee32026c9593b63809d08c8ff70b2e35f595f88
32025R2162	Commission Implementing Regulation (EU) 2025/2162	Accreditation of conformity assessment bodies assessing QTSPs	delegated	in-force		32025R2162	eng	http://publications.europa.eu/resource/celex/32025R2162	2026-08-14	application/xml;type=fmx4	29972	3f16b315e30b611510a153a32064646a07c7e6b42ae826145271bd8e7486bd37
32025R2530	Commission Implementing Regulation (EU) 2025/2530	Requirements for QTSPs providing qualified trust services	delegated	in-force		32025R2530	eng	http://publications.europa.eu/resource/celex/32025R2530	2026-08-14	application/xml;type=fmx4	18395	9d284f1a033cda2527c38a5ffdfb0d93a4a42c3536c986ad5fc50185982a9cd7
